variant,seed,steps,tokenizer,train_tokens,val_tokens,parameter_count,final_train_loss,final_train_ce_loss,final_val_loss,final_val_ce_loss,final_val_perplexity,final_val_conservation_loss,final_val_drift_loss,final_val_structural_energy,checkpoint_path,best_checkpoint_path
baseline,42,15000,bpe,1714416,91043,1260864,0.11525297164916992,0.11525297164916992,0.10003059916198254,0.10003059916198254,1.105204735896984,0.0,0.0,0.0,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\baseline_seed42_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\baseline_seed42_best.pt
persistent_core,42,15000,bpe,1714416,91043,1244416,0.020449060946702957,0.020449060946702957,0.018073286791332067,0.018073286791332067,1.0182375970217064,0.06874339599162341,0.0,0.2717716909945011,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\persistent_core_seed42_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\persistent_core_seed42_best.pt
memory_core,42,15000,bpe,1714416,91043,1244416,0.018497103825211525,0.018497103825211525,0.01757982790004462,0.01757982790004462,1.0177352625769052,0.0695382071658969,0.0,0.2733840845525265,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\memory_core_seed42_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\memory_core_seed42_best.pt
svf,42,15000,bpe,1714416,91043,1244416,0.022116562351584435,0.021908508613705635,0.014875896903686226,0.014617239497601986,1.0147245937795049,0.025034915655851364,0.008308509038761258,0.17423155084252356,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\svf_seed42_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\svf_seed42_best.pt
baseline,43,15000,bpe,1714416,91043,1260864,0.12308598309755325,0.12308598309755325,0.1054194688796997,0.1054194688796997,1.111176616621832,0.0,0.0,0.0,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\baseline_seed43_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\baseline_seed43_best.pt
persistent_core,43,15000,bpe,1714416,91043,1244416,0.026989169418811798,0.026989169418811798,0.01702133857179433,0.01702133857179433,1.0171670269852988,0.07317990250885487,0.0,0.27930716425180435,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\persistent_core_seed43_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\persistent_core_seed43_best.pt
memory_core,43,15000,bpe,1714416,91043,1244416,0.028543099761009216,0.028543099761009216,0.017446948448196054,0.017446948448196054,1.0176000354577388,0.07228021062910557,0.0,0.277262756973505,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\memory_core_seed43_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\memory_core_seed43_best.pt
svf,43,15000,bpe,1714416,91043,1244416,0.025412801653146744,0.0251274723559618,0.016063811886124314,0.015824036172125487,1.0159498992434077,0.023128274735063313,0.008492925250902773,0.16945935040712357,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\svf_seed43_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\svf_seed43_best.pt
baseline,44,15000,bpe,1714416,91043,1260864,0.11191117763519287,0.11191117763519287,0.09964705035090446,0.09964705035090446,1.104780917217304,0.0,0.0,0.0,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\baseline_seed44_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\baseline_seed44_best.pt
persistent_core,44,15000,bpe,1714416,91043,1244416,0.026005690917372704,0.026005690917372704,0.01642195553286001,0.01642195553286001,1.0165575369987878,0.06640916746109723,0.0,0.2678689226508141,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\persistent_core_seed44_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\persistent_core_seed44_best.pt
memory_core,44,15000,bpe,1714416,91043,1244416,0.027169538661837578,0.027169538661837578,0.01650779398623854,0.01650779398623854,1.0166448004707613,0.0664427688345313,0.0,0.2679507382214069,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\memory_core_seed44_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\memory_core_seed44_best.pt
svf,44,15000,bpe,1714416,91043,1244416,0.02998127043247223,0.02975473366677761,0.01411494987551123,0.013861566246487201,1.0139580831989843,0.02455289466306567,0.007854668702930213,0.1783547058701515,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\svf_seed44_final.pt,outputs\experiments\phaseB_multidataset_formal\instruction\checkpoints\svf_seed44_best.pt
