variant,seed,steps,tokenizer,train_tokens,val_tokens,parameter_count,final_train_loss,final_train_ce_loss,final_val_loss,final_val_ce_loss,final_val_perplexity,final_val_conservation_loss,final_val_drift_loss,final_val_structural_energy,checkpoint_path,best_checkpoint_path
baseline,42,15000,bpe,3422909,183261,1261584,0.16543042659759521,0.16543042659759521,0.1599358379840851,0.1599358379840851,1.1734355785841115,0.0,0.0,0.0,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\baseline_seed42_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\baseline_seed42_best.pt
persistent_core,42,15000,bpe,3422909,183261,1245056,0.039643704891204834,0.039643704891204834,0.03441970599815249,0.03441970599815249,1.0350189192285633,0.06289212945848703,0.0,0.26129091903567314,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\persistent_core_seed42_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\persistent_core_seed42_best.pt
memory_core,42,15000,bpe,3422909,183261,1245056,0.04192508012056351,0.04192508012056351,0.032387678232043984,0.032387678232043984,1.0329178674669628,0.06240121908485889,0.0,0.26037517115473746,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\memory_core_seed42_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\memory_core_seed42_best.pt
svf,42,15000,bpe,3422909,183261,1245056,0.041554827243089676,0.04131919890642166,0.02961594075895846,0.029338903399184345,1.0297735290936267,0.026929330732673406,0.007744085951708257,0.18690337166190146,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\svf_seed42_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\svf_seed42_best.pt
baseline,43,15000,bpe,3422909,183261,1261584,0.17057910561561584,0.17057910561561584,0.15850052535533904,0.15850052535533904,1.1717525398114912,0.0,0.0,0.0,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\baseline_seed43_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\baseline_seed43_best.pt
persistent_core,43,15000,bpe,3422909,183261,1245056,0.04591705650091171,0.04591705650091171,0.03206027541309595,0.03206027541309595,1.03257974259995,0.07476300187408924,0.0,0.28592263758182523,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\persistent_core_seed43_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\persistent_core_seed43_best.pt
memory_core,43,15000,bpe,3422909,183261,1245056,0.0452389121055603,0.0452389121055603,0.032181269582360984,0.032181269582360984,1.0327046862866822,0.0744936302304268,0.0,0.28553872257471086,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\memory_core_seed43_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\memory_core_seed43_best.pt
svf,43,15000,bpe,3422909,183261,1245056,0.045224379748106,0.045012108981609344,0.029562932811677455,0.029226821009069683,1.029658116083213,0.03285752916708588,0.007536528469063342,0.203783967345953,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\svf_seed43_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\svf_seed43_best.pt
baseline,44,15000,bpe,3422909,183261,1261584,0.16173458099365234,0.16173458099365234,0.15897464156150817,0.15897464156150817,1.172308218397938,0.0,0.0,0.0,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\baseline_seed44_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\baseline_seed44_best.pt
persistent_core,44,15000,bpe,3422909,183261,1245056,0.05102226510643959,0.05102226510643959,0.030976547580212354,0.030976547580212354,1.0314613133391453,0.06314454078674317,0.0,0.26241061091423035,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\persistent_core_seed44_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\persistent_core_seed44_best.pt
memory_core,44,15000,bpe,3422909,183261,1245056,0.05506765842437744,0.05506765842437744,0.03207232318818569,0.03207232318818569,1.0325921829633902,0.06364069767296314,0.0,0.26347285211086274,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\memory_core_seed44_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\memory_core_seed44_best.pt
svf,44,15000,bpe,3422909,183261,1245056,0.04508190229535103,0.04486028477549553,0.030078476341441274,0.029807294951751828,1.0302559792946908,0.02636723602190614,0.007509024767205119,0.1853312224149704,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\svf_seed44_final.pt,outputs\experiments\phaseB_multidataset_formal\prose\checkpoints\svf_seed44_best.pt
