delay_tokens,variant,seed,steps,parameter_count,final_train_loss,final_val_loss,final_val_ce_loss,final_answer_token_accuracy,final_answer_exact_accuracy
128,baseline,42,3000,1141632,3.729292869567871,3.727384850382805,3.727384850382805,1.0,1.0
128,persistent_core,42,3000,1138432,3.7234301567077637,3.7287269234657288,3.7287269234657288,1.0,1.0
128,baseline,43,3000,1141632,3.7350118160247803,3.7302844375371933,3.7302844375371933,1.0,1.0
128,persistent_core,43,3000,1138432,3.724888324737549,3.7264463007450104,3.7264463007450104,1.0,1.0
128,baseline,44,3000,1141632,3.7324352264404297,3.731027215719223,3.731027215719223,1.0,1.0
128,persistent_core,44,3000,1138432,3.718852996826172,3.727069601416588,3.727069601416588,1.0,1.0
256,baseline,42,3000,1160064,3.9376864433288574,3.9303075671195984,3.9303075671195984,1.0,1.0
256,persistent_core,42,3000,1154816,3.9260644912719727,3.928505465388298,3.928505465388298,1.0,1.0
256,baseline,43,3000,1160064,3.934257745742798,3.9299009889364243,3.9299009889364243,1.0,1.0
256,persistent_core,43,3000,1154816,3.927788019180298,3.927696406841278,3.927696406841278,1.0,1.0
256,baseline,44,3000,1160064,3.93506121635437,3.9299121648073196,3.9299121648073196,1.0,1.0
256,persistent_core,44,3000,1154816,3.9251976013183594,3.926758751273155,3.926758751273155,1.0,1.0
512,baseline,42,3000,1196928,4.046228408813477,4.041671395301819,4.041671395301819,1.0,1.0
512,persistent_core,42,3000,1187584,4.041545391082764,4.039619475603104,4.039619475603104,1.0,1.0
512,baseline,43,3000,1196928,4.048459529876709,4.040280729532242,4.040280729532242,1.0,1.0
512,persistent_core,43,3000,1187584,4.040654182434082,4.039788365364075,4.039788365364075,1.0,1.0
512,baseline,44,3000,1196928,4.046773433685303,4.0404616594314575,4.0404616594314575,1.0,1.0
512,persistent_core,44,3000,1187584,4.039272785186768,4.039448291063309,4.039448291063309,1.0,1.0
1024,baseline,42,3000,1270656,4.113101959228516,4.109508782625198,4.109508782625198,0.18515625,0.0
1024,persistent_core,42,3000,1253120,4.099154472351074,4.099117815494537,4.099117815494537,1.0,1.0
1024,baseline,43,3000,1270656,4.110625743865967,4.107856899499893,4.107856899499893,0.442578125,0.00390625
1024,persistent_core,43,3000,1253120,4.100300312042236,4.099017113447189,4.099017113447189,1.0,1.0
1024,baseline,44,3000,1270656,4.105288028717041,4.099946945905685,4.099946945905685,1.0,1.0
1024,persistent_core,44,3000,1253120,4.099696636199951,4.098663806915283,4.098663806915283,1.0,1.0
