task_type,delay_tokens,variant,seed,steps,parameter_count,final_train_loss,final_val_loss,final_val_ce_loss,final_answer_token_accuracy,final_answer_exact_accuracy,final_val_structural_energy,final_val_drift_loss,final_core_norm_mean,final_core_slot_norm_std,final_attractor_distance,core_trace_path
multi_entity,1024,baseline,42,3000,1274400,4.060122489929199,4.056381675932142,4.056381675932142,0.091796875,0.01171875,0.0,0.0,0.0,0.0,0.0,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay1024_baseline_seed42.json
multi_entity,1024,persistent_core,42,3000,1256448,4.0556135177612305,4.053384833865696,4.053384833865696,0.09765625,0.013671875,0.9792694052060446,0.0,11.195824464162191,0.0005728749448381779,0.9895804027716318,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay1024_persistent_core_seed42.json
multi_entity,1024,baseline,43,3000,1274400,4.058264255523682,4.055528667238024,4.055528667238024,0.1279296875,0.021484375,0.0,0.0,0.0,0.0,0.0,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay1024_baseline_seed43.json
multi_entity,1024,persistent_core,43,3000,1256448,4.054529666900635,4.053508917490642,4.053508917490642,0.0908203125,0.0,0.9703426195515527,0.0,11.144678486718071,0.00023473709006793797,0.9850597083568573,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay1024_persistent_core_seed43.json
multi_entity,1024,baseline,44,3000,1274400,4.057895183563232,4.055545965830485,4.055545965830485,0.0986328125,0.013671875,0.0,0.0,0.0,0.0,0.0,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay1024_baseline_seed44.json
multi_entity,1024,persistent_core,44,3000,1256448,4.05549955368042,4.054013278749254,4.054013278749254,0.09375,0.0078125,0.974694119559394,0.0,11.16963964038425,0.0004648055748677709,0.9872659709718492,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay1024_persistent_core_seed44.json
multi_entity,2048,baseline,42,3000,1421856,4.114947319030762,4.110008168864894,4.110008168864894,0.0927734375,0.005859375,0.0,0.0,0.0,0.0,0.0,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay2048_baseline_seed42.json
multi_entity,2048,persistent_core,42,3000,1387520,4.108065605163574,4.107752961081427,4.107752961081427,0.0908203125,0.0078125,0.9908877272863645,0.0,11.262044094704294,0.0003105565222024263,0.995433439274092,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay2048_persistent_core_seed42.json
multi_entity,2048,baseline,43,3000,1421856,4.1146674156188965,4.11123132061314,4.11123132061314,0.0859375,0.009765625,0.0,0.0,0.0,0.0,0.0,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay2048_baseline_seed43.json
multi_entity,2048,persistent_core,43,3000,1387520,4.1095805168151855,4.109044158780897,4.109044158780897,0.0908203125,0.009765625,0.973242569614101,0.0,11.161319552241144,0.0004858269648802643,0.9865305745923841,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay2048_persistent_core_seed43.json
multi_entity,2048,baseline,44,3000,1421856,4.115302085876465,4.109618264275628,4.109618264275628,0.1064453125,0.01171875,0.0,0.0,0.0,0.0,0.0,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay2048_baseline_seed44.json
multi_entity,2048,persistent_core,44,3000,1387520,4.1084303855896,4.10750041781245,4.10750041781245,0.1025390625,0.009765625,0.9819426882911373,0.0,11.211095745499069,0.0006784770560664805,0.9909302076777896,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay2048_persistent_core_seed44.json
multi_entity,4096,baseline,42,3000,1639400,4.145177841186523,4.141301364637911,4.141301364637911,0.1083984375,0.009765625,0.0,0.0,0.0,0.0,0.0,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay4096_baseline_seed42.json
multi_entity,4096,persistent_core,42,3000,1649664,4.140072822570801,4.1425416469573975,4.1425416469573975,0.109375,0.0078125,0.9774934410816059,0.0,11.185667630285025,0.00015093493300355476,0.988682680297643,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay4096_persistent_core_seed42.json
multi_entity,4096,baseline,43,3000,1639400,4.146099090576172,4.140349348075688,4.140349348075688,0.11328125,0.00390625,0.0,0.0,0.0,0.0,0.0,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay4096_baseline_seed43.json
multi_entity,4096,persistent_core,43,3000,1649664,4.137699127197266,4.136431341059506,4.136431341059506,0.09375,0.01171875,0.9544780586147681,0.0,11.053198361769319,0.000181175340316031,0.9769739300245419,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay4096_persistent_core_seed43.json
multi_entity,4096,baseline,44,3000,1639400,4.146111488342285,4.140076625160873,4.140076625160873,0.083984375,0.015625,0.0,0.0,0.0,0.0,0.0,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay4096_baseline_seed44.json
multi_entity,4096,persistent_core,44,3000,1649664,4.142284393310547,4.137585089541972,4.137585089541972,0.08203125,0.0078125,0.9652482781093568,0.0,11.115384889766574,0.00039754118517976167,0.9824704984202981,outputs\experiments\phaseE_multientity_recall_formal\core_traces\delay4096_persistent_core_seed44.json
