delay_tokens,variant,seed,trace_count,slot_count,slot_usage_entropy,normalized_slot_usage_entropy,dominant_slot_fraction,mean_offdiag_cosine,max_offdiag_cosine,min_offdiag_cosine,mean_slot_norm_std,mean_core_norm
512,baseline,42,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
512,baseline,43,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
512,baseline,44,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
512,core_dynamics,42,4,4,-0.0,-0.0,1.0,0.9999964190850124,0.9999994625616224,0.9999919223337683,0.0004140536031425067,11.72007441520691
512,core_dynamics,43,4,4,-0.0,-0.0,1.0,0.9999984773721824,0.9999998004361326,0.999996950304703,0.000363167284733156,11.736401557922363
512,core_dynamics,44,4,4,-0.0,-0.0,1.0,0.9999997567983304,0.9999999796128146,0.9999994474518608,0.0005708744685495288,11.802820682525635
512,persistent_core,42,4,4,-0.0,-0.0,1.0,0.9999986172731478,0.9999999801178752,0.9999967857098987,0.00019812559992217997,11.210424900054932
512,persistent_core,43,4,4,-0.0,-0.0,1.0,0.9999953040004327,0.9999972177312377,0.9999893232881497,0.00022496389383541292,11.104381561279297
512,persistent_core,44,4,4,-0.0,-0.0,1.0,0.9999921461961451,0.9999999739856675,0.9999860789720793,0.0003781197264355598,11.172587394714355
512,svf,42,4,4,-0.0,-0.0,1.0,0.9997727413447629,0.9998450910457455,0.9997155665432305,0.004840931702776107,6.8321555852890015
512,svf,43,4,4,-0.0,-0.0,1.0,0.9997320198957551,0.9997968298688484,0.9996811257703059,0.012171396286284698,6.61815345287323
512,svf,44,4,4,-0.0,-0.0,1.0,0.9997798558595071,0.9998216797389188,0.9997482714438551,0.02441087946023005,6.787947654724121
