delay_tokens,variant,seed,trace_count,slot_count,slot_usage_entropy,normalized_slot_usage_entropy,dominant_slot_fraction,mean_offdiag_cosine,max_offdiag_cosine,min_offdiag_cosine,mean_slot_norm_std,mean_core_norm
1024,baseline,42,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
1024,baseline,43,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
1024,baseline,44,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
1024,persistent_core,42,4,4,-0.0,-0.0,1.0,0.9999996922035358,0.9999999236073926,0.9999993167830051,0.0004975995991524816,11.195564985275269
1024,persistent_core,43,4,4,-0.0,-0.0,1.0,0.9999920590109728,0.9999966518067563,0.9999861208047578,0.0002031703783338869,11.14474368095398
1024,persistent_core,44,4,4,-0.0,-0.0,1.0,0.9999980904706537,0.9999993119904055,0.9999950365761633,0.00040475633127917747,11.169216871261597
2048,baseline,42,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
2048,baseline,43,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
2048,baseline,44,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
2048,persistent_core,42,4,4,-0.0,-0.0,1.0,0.9999999780095904,0.9999999870894001,0.9999999705389425,0.00026933156490191457,11.261961936950684
2048,persistent_core,43,4,4,-0.0,-0.0,1.0,0.9999963427395127,0.9999996604096252,0.9999918213402947,0.000420684885027507,11.161340236663818
2048,persistent_core,44,4,4,-0.0,-0.0,1.0,0.9999997772441772,0.9999999629234879,0.9999994809650684,0.0005871876822536545,11.211139440536499
4096,baseline,42,2,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
4096,baseline,43,2,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
4096,baseline,44,2,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
4096,persistent_core,42,2,4,-0.0,-0.0,1.0,0.9999982205194508,0.9999999692047943,0.9999966884817931,0.00013051386614212408,11.185694694519043
4096,persistent_core,43,2,4,-0.0,-0.0,1.0,0.9999891190166622,0.999993460334639,0.9999829141675901,0.00015702275276402742,11.053170680999756
4096,persistent_core,44,2,4,-0.0,-0.0,1.0,0.9999961155136727,0.999999032550526,0.9999928312939704,0.0003442898844099607,11.115366458892822
